question_id,skill_id,source,source_version,is_train_only
KDOmuTrY/IJzDP4kIgIYCBiGyTymsJ8Iy4cDB35WGYg=,xYDz4OEv0xsri1IpmXlrgMLJ848rgySf+39xWpq4DBI=,provided_static,1,False
COZ39Wo+uIUO2s7c2VGEHjJf6Vx0xifxVAiaeHtaTdk=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,provided_static,1,False
TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
tBo6ECyT8IlKAM8UhQHWkqv92PRLcSiwuerfC7vNX+w=,R81Sqc8LAYj8amTPwFRvoPgbGpdaZoQLNX0hTg0DMB4=,provided_static,1,False
vVpSKAMQbTMvtdERR0ksOeRmmaFt0R210t4Z//0RpPA=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
/SsQisa91ErcEufKW7SNb4xZ6DASvJZ4Ml5/0BluyAA=,R81Sqc8LAYj8amTPwFRvoPgbGpdaZoQLNX0hTg0DMB4=,provided_static,1,False
PB+tEauJ6Cu8clF5IHjouv5FqEgH9UDWxbOqE+SBa50=,xYDz4OEv0xsri1IpmXlrgMLJ848rgySf+39xWpq4DBI=,provided_static,1,False
ZcwX8fZUrnZDOsvBOPux3Oaf1viIG83MNe5frh0jnQw=,xYDz4OEv0xsri1IpmXlrgMLJ848rgySf+39xWpq4DBI=,provided_static,1,False
RqWJRTdyiEJkrfUuO1BNxb3KXHD+idu3CvWpdu9lgHM=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
5ZJ5qSJYX6dsa9HODIJqoF60NnmdmYfFjBKCus7D7og=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
evRRGINVvP8D982nKYCUr6xI3QP2Mx+Fvu2ZIrKNajM=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
hv7kHCAIdj7thZUmlqz553leG5bFNYgzXmLfB5m4Xvw=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
FJV9jFDQLQAIAZoc7YboSSkQOkS3dNtCQAVDL874AKM=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
GkU4YRR5l1jeRDOWNQmr37Lv5G6jR8z3dHRsRgLiyts=,jXSXg7CfDboPEXlnqJTGuQOb0VIgOXCpaU/Sl+/m3n0=,provided_static,1,False
2ITXot2a2bPpUbrQr34491M0lzlI7QvvHhgqW0bNZbw=,xYDz4OEv0xsri1IpmXlrgMLJ848rgySf+39xWpq4DBI=,provided_static,1,False
4TQW6WshhFY+RHtjqPKjxICmHWA5iO/57N39cYvvg94=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
DBCNxZ0sgsp2UnxD2QjnB5hpbDbKo2poEf5HLMnXhck=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
dVKfHzCsi1dOBhd343bsUNF4dowsiANnvRBkWqToitg=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
402dNPbx+4GTuJz3zqGawb4Vh7B9jYsME8+b/b01PwY=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
jImuGvSym6odgRoYw7vgkq4HUbmJ1tDW9fq6bo/yN5s=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
XG1pV3YZ4tnQkmvmVbwNYnm01m9sRhZovPW1qTPIGYI=,xYDz4OEv0xsri1IpmXlrgMLJ848rgySf+39xWpq4DBI=,provided_static,1,False
4ocFSB0WJ+OdC6URbytP90Mq+4KaJGPg3s0Dq7kysgw=,xYDz4OEv0xsri1IpmXlrgMLJ848rgySf+39xWpq4DBI=,provided_static,1,False
kaswy5Iwfp5d3/3ST/V5AU2yqxKhaFF+OP11w7VeMK4=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
Jl92cIZYcCutl8sqyj2VP8UbUigvqBoHBO/R38DK1DU=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
oZX4t0FNoXmrwFyk77fGdpfqmvX+3PIIn7CYXH/6CY0=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
IH5IsJ7NfivpV8YRPlcRNiwPmrtI+kJpCmIU50BzznQ=,7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,provided_static,1,False
