dataset,fold_id,src_skill_id,dst_skill_id,relation_type,directed,weight,support_count,source_split,source_fold,support_source,support_interaction_ids_hash,support_question_ids_hash,construction_method,threshold,confidence,created_at
kdd2010,0,6,18,E_co,False,0.05406722127027579,18,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,6,21,E_co,False,0.05406722127027579,17,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,7,93,E_co,False,0.1112256351102244,11,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,18,21,E_co,False,0.05406722127027579,17,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,4,6,E_co,False,0.05406722127027579,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,4,8,E_co,False,0.23638877806423034,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,4,9,E_co,False,0.23638877806423034,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,4,11,E_co,False,0.23638877806423034,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.339100
kdd2010,0,4,12,E_co,False,0.23638877806423034,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344644
kdd2010,0,4,13,E_co,False,0.23638877806423034,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344644
kdd2010,0,4,14,E_co,False,0.17185025692665923,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344665
kdd2010,0,4,15,E_co,False,0.17185025692665923,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344665
kdd2010,0,4,16,E_co,False,0.17185025692665923,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344722
kdd2010,0,4,17,E_co,False,0.17185025692665923,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344722
kdd2010,0,4,18,E_co,False,0.05406722127027579,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344722
kdd2010,0,4,19,E_co,False,0.16739590657727882,14,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344722
kdd2010,0,4,21,E_co,False,0.1112256351102244,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344722
kdd2010,0,4,22,E_co,False,0.17185025692665923,15,train,0,train,hash,hash,pmi,0,1.0,2026-05-12T11:14:40.344722
