interaction_id,learner_id,question_id,skill_id,timestamp,correct,dataset
30054,23T7Up1oQ6,5275,10,1144680951.0,1,algebra2005
30055,23T7Up1oQ6,5276,10,1144681019.0,0,algebra2005
30056,23T7Up1oQ6,5279,5,1144681055.0,0,algebra2005
30056,23T7Up1oQ6,5279,93,1144681055.0,0,algebra2005
30057,23T7Up1oQ6,5282,7,1144681097.0,1,algebra2005
30057,23T7Up1oQ6,5282,20,1144681097.0,1,algebra2005
30057,23T7Up1oQ6,5282,2,1144681097.0,1,algebra2005
30058,23T7Up1oQ6,5280,5,1144681137.0,1,algebra2005
30059,23T7Up1oQ6,5283,7,1144681149.0,1,algebra2005
30059,23T7Up1oQ6,5283,20,1144681149.0,1,algebra2005
30059,23T7Up1oQ6,5283,2,1144681149.0,1,algebra2005
30060,23T7Up1oQ6,5281,5,1144681160.0,1,algebra2005
30061,23T7Up1oQ6,5284,7,1144681174.0,1,algebra2005
30061,23T7Up1oQ6,5284,20,1144681174.0,1,algebra2005
30061,23T7Up1oQ6,5284,2,1144681174.0,1,algebra2005
30062,23T7Up1oQ6,5277,1,1144681182.0,1,algebra2005
30063,23T7Up1oQ6,5278,20,1144681197.0,1,algebra2005
30063,23T7Up1oQ6,5278,2,1144681197.0,1,algebra2005
30063,23T7Up1oQ6,5278,3,1144681197.0,1,algebra2005
30064,23T7Up1oQ6,11448,5,1144681277.0,1,algebra2005
30065,23T7Up1oQ6,11450,7,1144681295.0,1,algebra2005
30065,23T7Up1oQ6,11450,20,1144681295.0,1,algebra2005
30065,23T7Up1oQ6,11450,2,1144681295.0,1,algebra2005
30066,23T7Up1oQ6,11449,5,1144681314.0,1,algebra2005
30067,23T7Up1oQ6,11451,7,1144681322.0,1,algebra2005
30067,23T7Up1oQ6,11451,20,1144681322.0,1,algebra2005
30067,23T7Up1oQ6,11451,2,1144681322.0,1,algebra2005
30068,23T7Up1oQ6,11446,1,1144681335.0,1,algebra2005
30069,23T7Up1oQ6,11447,20,1144681344.0,1,algebra2005
30069,23T7Up1oQ6,11447,2,1144681344.0,1,algebra2005
30069,23T7Up1oQ6,11447,3,1144681344.0,1,algebra2005
30070,23T7Up1oQ6,11452,10,1144681402.0,1,algebra2005
30071,23T7Up1oQ6,11455,5,1144681409.0,1,algebra2005
30072,23T7Up1oQ6,11459,7,1144681425.0,1,algebra2005
30072,23T7Up1oQ6,11459,20,1144681425.0,1,algebra2005
30072,23T7Up1oQ6,11459,2,1144681425.0,1,algebra2005
30073,23T7Up1oQ6,11456,5,1144681440.0,1,algebra2005
30074,23T7Up1oQ6,11460,7,1144681446.0,1,algebra2005
30074,23T7Up1oQ6,11460,20,1144681446.0,1,algebra2005
30074,23T7Up1oQ6,11460,2,1144681446.0,1,algebra2005
30075,23T7Up1oQ6,11457,5,1144681453.0,1,algebra2005
30076,23T7Up1oQ6,11458,20,1144681463.0,1,algebra2005
30076,23T7Up1oQ6,11458,2,1144681463.0,1,algebra2005
30076,23T7Up1oQ6,11458,6,1144681463.0,1,algebra2005
30077,23T7Up1oQ6,11453,1,1144681506.0,1,algebra2005
30078,23T7Up1oQ6,11454,20,1144681513.0,1,algebra2005
30078,23T7Up1oQ6,11454,2,1144681513.0,1,algebra2005
30078,23T7Up1oQ6,11454,3,1144681513.0,1,algebra2005
30079,23T7Up1oQ6,14942,10,1144681551.0,1,algebra2005
30080,23T7Up1oQ6,14943,10,1144681602.0,1,algebra2005
30081,23T7Up1oQ6,14944,5,1144681617.0,1,algebra2005
30081,23T7Up1oQ6,14944,18,1144681617.0,1,algebra2005
30082,23T7Up1oQ6,14945,7,1144681633.0,1,algebra2005
30082,23T7Up1oQ6,14945,20,1144681633.0,1,algebra2005
30082,23T7Up1oQ6,14945,2,1144681633.0,1,algebra2005
30083,23T7Up1oQ6,14946,5,1144681649.0,1,algebra2005
30083,23T7Up1oQ6,14946,18,1144681649.0,1,algebra2005
30084,23T7Up1oQ6,14947,7,1144681665.0,1,algebra2005
30084,23T7Up1oQ6,14947,20,1144681665.0,1,algebra2005
30084,23T7Up1oQ6,14947,2,1144681665.0,1,algebra2005
30085,23T7Up1oQ6,14948,5,1144681671.0,1,algebra2005
30085,23T7Up1oQ6,14948,18,1144681671.0,1,algebra2005
30086,23T7Up1oQ6,14949,7,1144681699.0,1,algebra2005
30086,23T7Up1oQ6,14949,20,1144681699.0,1,algebra2005
30086,23T7Up1oQ6,14949,2,1144681699.0,1,algebra2005
30087,23T7Up1oQ6,14950,1,1144681706.0,1,algebra2005
30088,23T7Up1oQ6,14951,20,1144681709.0,0,algebra2005
30088,23T7Up1oQ6,14951,2,1144681709.0,0,algebra2005
30088,23T7Up1oQ6,14951,3,1144681709.0,0,algebra2005
30089,23T7Up1oQ6,11461,10,1144682025.0,0,algebra2005
30090,23T7Up1oQ6,11465,5,1144682260.0,1,algebra2005
30091,23T7Up1oQ6,11464,7,1144682283.0,1,algebra2005
30091,23T7Up1oQ6,11464,20,1144682283.0,1,algebra2005
30091,23T7Up1oQ6,11464,21,1144682283.0,1,algebra2005
30092,23T7Up1oQ6,11466,5,1144682300.0,1,algebra2005
30093,23T7Up1oQ6,11467,7,1144682316.0,1,algebra2005
30093,23T7Up1oQ6,11467,20,1144682316.0,1,algebra2005
30093,23T7Up1oQ6,11467,21,1144682316.0,1,algebra2005
30094,23T7Up1oQ6,11468,5,1144682335.0,1,algebra2005
30095,23T7Up1oQ6,11469,7,1144682369.0,1,algebra2005
30095,23T7Up1oQ6,11469,20,1144682369.0,1,algebra2005
30095,23T7Up1oQ6,11469,21,1144682369.0,1,algebra2005
30096,23T7Up1oQ6,11462,1,1144682393.0,1,algebra2005
30097,23T7Up1oQ6,11463,20,1144682402.0,1,algebra2005
30097,23T7Up1oQ6,11463,3,1144682402.0,1,algebra2005
30097,23T7Up1oQ6,11463,21,1144682402.0,1,algebra2005
30098,23T7Up1oQ6,14952,10,1144682505.0,1,algebra2005
30099,23T7Up1oQ6,14953,10,1144682511.0,1,algebra2005
30100,23T7Up1oQ6,14954,5,1144682603.0,1,algebra2005
30101,23T7Up1oQ6,14955,7,1144682618.0,1,algebra2005
30101,23T7Up1oQ6,14955,20,1144682618.0,1,algebra2005
30101,23T7Up1oQ6,14955,21,1144682618.0,1,algebra2005
30102,23T7Up1oQ6,14956,5,1144682649.0,1,algebra2005
30103,23T7Up1oQ6,14957,7,1144682669.0,1,algebra2005
30103,23T7Up1oQ6,14957,20,1144682669.0,1,algebra2005
30103,23T7Up1oQ6,14957,21,1144682669.0,1,algebra2005
30104,23T7Up1oQ6,14958,1,1144682690.0,1,algebra2005
30105,23T7Up1oQ6,14959,20,1144682697.0,1,algebra2005
30105,23T7Up1oQ6,14959,3,1144682697.0,1,algebra2005
30105,23T7Up1oQ6,14959,21,1144682697.0,1,algebra2005
1,52vEY7f17k,1,1,1126268662.0,0,algebra2005
2,52vEY7f17k,2,2,1126268740.0,0,algebra2005
2,52vEY7f17k,2,3,1126268740.0,0,algebra2005
2,52vEY7f17k,2,4,1126268740.0,0,algebra2005
3,52vEY7f17k,3,5,1126268844.0,1,algebra2005
4,52vEY7f17k,4,5,1126268850.0,1,algebra2005
5,52vEY7f17k,5,5,1126268861.0,1,algebra2005
7,52vEY7f17k,7,2,1126268921.0,0,algebra2005
7,52vEY7f17k,7,6,1126268921.0,0,algebra2005
7,52vEY7f17k,7,4,1126268921.0,0,algebra2005
6,52vEY7f17k,6,5,1126268930.0,1,algebra2005
8,52vEY7f17k,8,1,1126269219.0,1,algebra2005
9,52vEY7f17k,9,2,1126269227.0,1,algebra2005
9,52vEY7f17k,9,3,1126269227.0,1,algebra2005
9,52vEY7f17k,9,4,1126269227.0,1,algebra2005
11,52vEY7f17k,11,5,1126269347.0,0,algebra2005
10,52vEY7f17k,10,7,1126269351.0,0,algebra2005
10,52vEY7f17k,10,2,1126269351.0,0,algebra2005
10,52vEY7f17k,10,4,1126269351.0,0,algebra2005
12,52vEY7f17k,12,5,1126269475.0,1,algebra2005
13,52vEY7f17k,13,5,1126269482.0,1,algebra2005
14,52vEY7f17k,14,5,1126269491.0,1,algebra2005
15,52vEY7f17k,15,2,1126269515.0,0,algebra2005
15,52vEY7f17k,15,6,1126269515.0,0,algebra2005
15,52vEY7f17k,15,4,1126269515.0,0,algebra2005
16,52vEY7f17k,16,1,1126269711.0,1,algebra2005
17,52vEY7f17k,17,2,1126269714.0,1,algebra2005
17,52vEY7f17k,17,3,1126269714.0,1,algebra2005
17,52vEY7f17k,17,4,1126269714.0,1,algebra2005
18,52vEY7f17k,18,5,1126269726.0,1,algebra2005
19,52vEY7f17k,19,5,1126269733.0,1,algebra2005
20,52vEY7f17k,20,5,1126269738.0,0,algebra2005
21,52vEY7f17k,21,5,1126269749.0,1,algebra2005
22,52vEY7f17k,22,1,1126269796.0,1,algebra2005
23,52vEY7f17k,23,2,1126269798.0,1,algebra2005
23,52vEY7f17k,23,3,1126269798.0,1,algebra2005
23,52vEY7f17k,23,4,1126269798.0,1,algebra2005
24,52vEY7f17k,24,5,1126269849.0,1,algebra2005
27,52vEY7f17k,27,5,1126269856.0,0,algebra2005
25,52vEY7f17k,25,7,1126269863.0,0,algebra2005
25,52vEY7f17k,25,2,1126269863.0,0,algebra2005
25,52vEY7f17k,25,4,1126269863.0,0,algebra2005
28,52vEY7f17k,28,5,1126269882.0,0,algebra2005
26,52vEY7f17k,26,7,1126269902.0,0,algebra2005
26,52vEY7f17k,26,2,1126269902.0,0,algebra2005
26,52vEY7f17k,26,4,1126269902.0,0,algebra2005
29,52vEY7f17k,29,5,1126270024.0,1,algebra2005
30,52vEY7f17k,30,2,1126270182.0,1,algebra2005
30,52vEY7f17k,30,6,1126270182.0,1,algebra2005
30,52vEY7f17k,30,4,1126270182.0,1,algebra2005
