question_id,skill_id,source,source_version,is_train_only
1,2,provided_static,1,False
2,3,provided_static,1,False
3,4,provided_static,1,False
4,5,provided_static,1,False
5,6,provided_static,1,False
6,7,provided_static,1,False
7,8,provided_static,1,False
8,9,provided_static,1,False
9,10,provided_static,1,False
10,11,provided_static,1,False
11,12,provided_static,1,False
12,13,provided_static,1,False
13,14,provided_static,1,False
14,15,provided_static,1,False
15,16,provided_static,1,False
16,17,provided_static,1,False
17,18,provided_static,1,False
18,19,provided_static,1,False
19,20,provided_static,1,False
20,1,provided_static,1,False
21,2,provided_static,1,False
22,3,provided_static,1,False
23,4,provided_static,1,False
24,5,provided_static,1,False
25,6,provided_static,1,False
26,7,provided_static,1,False
27,8,provided_static,1,False
28,9,provided_static,1,False
29,10,provided_static,1,False
30,11,provided_static,1,False
31,12,provided_static,1,False
32,13,provided_static,1,False
33,14,provided_static,1,False
34,15,provided_static,1,False
35,16,provided_static,1,False
36,17,provided_static,1,False
37,18,provided_static,1,False
38,19,provided_static,1,False
39,20,provided_static,1,False
40,1,provided_static,1,False
