question_id,skill_id,source,source_version,is_train_only
16986,31,provided_static,1,False
12528,55,provided_static,1,False
10232,96,provided_static,1,False
12737,55,provided_static,1,False
7,4,provided_static,1,False
16717,27,provided_static,1,False
3905,74,provided_static,1,False
21835,4,provided_static,1,False
8130,12,provided_static,1,False
7389,25,provided_static,1,False
6770,39,provided_static,1,False
5660,34,provided_static,1,False
3723,10,provided_static,1,False
7432,5,provided_static,1,False
9661,20,provided_static,1,False
1666,38,provided_static,1,False
18000,12,provided_static,1,False
10369,13,provided_static,1,False
11837,4,provided_static,1,False
11826,4,provided_static,1,False
3866,12,provided_static,1,False
15421,26,provided_static,1,False
14201,41,provided_static,1,False
2822,5,provided_static,1,False
7716,11,provided_static,1,False
11309,26,provided_static,1,False
11510,21,provided_static,1,False
5490,32,provided_static,1,False
15903,30,provided_static,1,False
19264,13,provided_static,1,False
5927,16,provided_static,1,False
1579,2,provided_static,1,False
16739,9,provided_static,1,False
5175,12,provided_static,1,False
4091,17,provided_static,1,False
3310,12,provided_static,1,False
15350,11,provided_static,1,False
5470,16,provided_static,1,False
15815,9,provided_static,1,False
11882,52,provided_static,1,False
15901,39,provided_static,1,False
20105,9,provided_static,1,False
8325,51,provided_static,1,False
21377,28,provided_static,1,False
8710,5,provided_static,1,False
8595,87,provided_static,1,False
10882,2,provided_static,1,False
2867,33,provided_static,1,False
15198,55,provided_static,1,False
19569,47,provided_static,1,False
9902,9,provided_static,1,False
15305,4,provided_static,1,False
18762,9,provided_static,1,False
20899,9,provided_static,1,False
10046,105,provided_static,1,False
13168,12,provided_static,1,False
5916,20,provided_static,1,False
3924,70,provided_static,1,False
16009,31,provided_static,1,False
7697,8,provided_static,1,False
20585,9,provided_static,1,False
21861,12,provided_static,1,False
15237,28,provided_static,1,False
48,11,provided_static,1,False
16005,12,provided_static,1,False
19004,56,provided_static,1,False
6959,26,provided_static,1,False
1152,10,provided_static,1,False
18293,13,provided_static,1,False
6511,100,provided_static,1,False
16397,12,provided_static,1,False
2339,23,provided_static,1,False
9743,51,provided_static,1,False
4001,67,provided_static,1,False
5998,10,provided_static,1,False
10437,31,provided_static,1,False
3816,47,provided_static,1,False
8615,12,provided_static,1,False
12767,8,provided_static,1,False
1202,40,provided_static,1,False
11639,21,provided_static,1,False
20189,13,provided_static,1,False
478,28,provided_static,1,False
18397,9,provided_static,1,False
16472,7,provided_static,1,False
18844,26,provided_static,1,False
9870,15,provided_static,1,False
22039,9,provided_static,1,False
15165,27,provided_static,1,False
16755,23,provided_static,1,False
